EAN,Código Interno,Nombre Producto,Categoría,Subcategoría,Marca,Fabricante,Precio de Lista,Precio de Oferta,Tipo de Oferta,URL
8411061079959,,the icon the perfum men antonio bander 100 ml,mayonesas,GENERAL,ANTONIO BANDERAS,,43900.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=8411061079959&P=1
7795513321409,,box edt+ perfumero+ crema n.york bless 1 un,mayonesas,GENERAL,BLESS,,26562.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7795513321409&P=1
7795513321416,,box edt+perfumero+crema paris bless 1 un,mayonesas,GENERAL,BLESS,,26562.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7795513321416&P=1
7795513321423,,box edt+perfumero+crema rio bless 1 un,mayonesas,GENERAL,BLESS,,26562.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7795513321423&P=1
7791600102296,,eau chic to cheek gino bogani 60 ml,mayonesas,GENERAL,GINO BOGANI,,28103.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600102296&P=1
7791600619145,,eau de toilette vaporizador ciel love 60 ml,mayonesas,GENERAL,CIEL LOVE,,14108.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600619145&P=1
7791600023027,,eau parfum mar cardon 100 ml,mayonesas,GENERAL,CARDON,,26888.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600023027&P=1
7791600952747,,eau parfum men la dolfina stu 50 ml,mayonesas,GENERAL,LA DOLFINA STUD,,21737.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600952747&P=1
7791600952631,,eau parfum men la dolfina stu 100 ml,mayonesas,GENERAL,LA DOLFINA STUD,,28649.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600952631&P=1
7791600049027,,eau prune i 50 ml,mayonesas,GENERAL,PRUNE I,,21000.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600049027&P=1
7791600971045,,eau toilette boy danielle 100 ml,mayonesas,GENERAL,DANIELLE,,12949.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600971045&P=1
7791600619039,,eau toillette vaporizador ciel love 30 ml,mayonesas,GENERAL,CIEL LOVE,,11600.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7791600619039&P=1
7798332024032,,edp intense attraction woman boss 90 ml,mayonesas,GENERAL,BOSS,,42000.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798332024032&P=1
7798175718464,,edp intense night boos 90 ml,mayonesas,GENERAL,BOOS,,43849.0,,,https://www.lareinaonline.com.ar/productosdet.asp?Pr=7798175718464&P=1
