EAN,CodigoInterno,NombreProducto,Categoria,Subcategoria,Marca,Fabricante,PrecioLista,PrecioOferta,TipoOferta,URL,SKU,ProductId,ClusterId,ClusterNombre
7791019000060,103030315,Copos De Maíz Azucarados 3 Arroyos 200gr,Desayunos Y Meriendas,Cereales > Copos,3 Arroyos,,1509.0,980.85,Coleccion Automatica - Promos de Integracion Activas | Changazo - Desayuno | kiosko cer y bud | Sin cucarda Financiacion | Aniversario! Almacén | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | CumpleMas Aniversario x2 | Almacen | Promos activas - ESPECIAL 2 TINA | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/copos-de-maiz-azucarados-3-arroyos-200gr-2/p,217388,217353,3454,Almacen
7791019000213,123812620,Copos De Maíz Granix 160gr,Desayunos Y Meriendas,Cereales > Copos,Granix,,1099.0,1099.0,Vic - MKT | Más Online | Almacén | leyDeGondolas | Desayuno - Regional | Aniversario - Filtros - Desayuno | kiosko cer y bud | Sin cucarda Financiacion | Super - Filtro Desayuno | Desayuno y Golosinas | Maraton - Filtro - Galletitas y Cereales | Aniversario - Desayuno y Meriendas | Aniversario! Almacén | MasOfertas - Desayuno y Golosinas | ESPECIAL DESAYUNO ECOMM SEPTIEMBRE - 30% | Especial Almacén | Días que si - Almacén | Desayuno y Chocolates | Especial Almacén - General | Especial Almacén - Desayuno | 2da al 80% - Ofertas 31/07 | Prepará tu semana- mas ofertas | Mas Club Lunes 15% | Anses Incluidos Marzo 24 | Almacen | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/copos-de-maiz-granix-160gr-2/p,134742,134742,3454,Almacen
7896004010540,104371110,Copos De Maíz Kellogs El Original Corn Flakes 200 G,Desayunos Y Meriendas,Cereales > Copos,Kelloggs,,2479.0,1611.35,Coleccion Automatica - Promos de Integracion Activas | kiosko cer y bud | Sin cucarda Financiacion | Aniversario! Almacén | Mas Club Lunes 15% | Almacen | Promos activas - ESPECIAL 2 TINA | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/copos-de-maiz-kellogs-el-original-corn-flakes-200-g/p,234699,233778,3454,Almacen
7799120002300,214155469,Crackers Check  De Salvado 120 G,Desayunos Y Meriendas,Galletitas Saladas > Galletitas De Cereales,Check,,599.0,599.0,Nuestras Marcas | CHECK - CARRU | kiosko galletitas saladas | Sin cucarda Financiacion | Marca Propia | CHECK - BUSCADOR | Check - destacados | Mas Club Lunes 15% | Especial Reyes|Food | Anses Incluidos Marzo 24 | check GH | Árbol N2 - 25% | Almacen | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/crackers-check-de-salvado-120-gr-2/p,216943,216908,3454,Almacen
7798270248422,183648365,Crackers Check 101 G,Desayunos Y Meriendas,Galletitas Saladas > Galletitas De Agua,CHECK,,499.0,499.0,Nuestras Marcas | Más Online | Almacén | leyDeGondolas | Aniversario - Filtros - Desayuno | CHECK - CARRU | Dia del Padre - Desayuno para Papá | Changazo - Desayuno | kiosko galletitas saladas | Ofertas del día - Exclusivas | Sin cucarda Financiacion | Vivi la copa - Almacen | Viví la copa - General | Ofertas destacadas Desayuno | Desayuno | Marca Propia | Aniversario - Desayuno y Meriendas | CyberMonday - Super - Desayuno | CyberMonday - Filtro - Galletitas y más | Almacén - Changazos | Vuelta al Cole - Snacks | CHECK - BUSCADOR | Regional Almacén | Check - destacados | Mas ofertas - Almacén | Dias que si - Hasta  $999 | CyberMonday - Llevás 3x2 | Vic - MKT | Desayuno 2 -PREPARÁ TU SEMANA | Mas Club Lunes 15% | Especial Reyes|Food | Anses Incluidos Marzo 24 | Almacen | Liquidaciones - Mas Club | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/galletitas-crackers-great-value-x-101-gr-2/p,146070,146070,3454,Almacen
7799120002539,214155471,Crackers Check Pack 3u 303 G,Desayunos Y Meriendas,Galletitas Saladas > Galletitas De Agua,Check,,1209.0,899.0,"Coleccion Automatica - Promos de Integracion Activas | Nuestras Marcas | CHECK - CARRU | kiosko galletitas saladas | Vivi la copa - Meriendas | Ofertas del día - Exclusivas | Sin cucarda Financiacion | Ofertas destacadas Desayuno | Maraton - Filtro - Galletitas y Cereales | Marca Propia | Promo  $1, seleccionados de almacén y desayuno | MasOfertas - Almacén | MasOfertas - Desayuno | CHECK - BUSCADOR | Check - destacados | NOA/NEA- Noviembre | Vic - MKT | DESAYUNA-PREPARÁ TU SEMANA | Mas Club Lunes 15% | Apertura Campana Total | Especial Reyes|Food | Anses Incluidos Marzo 24 | check GH | Árbol N2 - 25% | Almacen | PROMOS ACTIVAS - COMAC TINA | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion",https://www.masonline.com.ar/crackers-check-tripack-303gr-2/p,187514,187514,3454,Almacen
7792900917009,12413184,Crema Chantilly Dos Anclas 50 Gr,Reposteria,"Chocolates, Rellenos Y Baños",Dos Anclas,,1459.0,1459.0,Más Online | Almacén | leyDeGondolas | Sin cucarda Financiacion | Almacén - Changazos | Ofertazos - Regional - Almacen | DESAYUNA-PREPARÁ TU SEMANA | Anses Filtro Excluidos | Mas Club Lunes 15% | Almacen | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/crema-chantilly-dos-anclas-50-gr-2/p,15062,15063,3454,Almacen
7793123000356,15965705,Cubanito Oblita Relleno De Chocolate,Kiosco,Golosinas > Obleas Y Bocaditos,Oblita,,2259.0,2259.0,Sin cucarda Financiacion | Mâs Ofertas - Almacén - Perfumería | MasOfertas - Desayuno y Golosinas | Anses Filtro Excluidos | Mas Club Lunes 15% | Apertura Campana Total | Especial Reyes|Food | Almacen | Sin financiación FOOD | Productos sin Financiacion,https://www.masonline.com.ar/cubanito-oblita-relleno-de-chocolate-2/p,212214,212161,3454,Almacen
7798094223605,210242943,Cubanito Smack 25 G,Kiosco,Golosinas > Obleas Y Bocaditos,SMACK,,459.0,459.0,Más Online | Almacén | Dia del Padre - Desayuno para Papá | PROMO 3x2 GRAL EUGE CUMPLE 16 | kiosko chocolates | Sin cucarda Financiacion | 7 Mario Castañeda | Black almacen | BF - Filtro golosinas | Almacén - Changazos | Filtro - Mas Club - Almacen Lacteos y galletitas | 3x2 - Promo - Especial Almacen | Especial Almacén | Días que si - Almacén | Días que si - Filtro - Desayuno y golosinas | Desayuno y Chocolates | Dia del amigo - Merendá con amigos | Dia del amigo - Chocolates y golosinas | Anses Filtro Excluidos | 1 (Adrian vinagre) | Mas Club Lunes 15% | 20240301 a 20240310 Changazo Super - 2da al 70% | CheckOut | Almacen | Liquidaciones - Mas Club | Promos activas - ESPECIAL 2 TINA | Sin financiación FOOD | Exceptos Promo Mercado Pago | Productos sin Financiacion,https://www.masonline.com.ar/cubanito-smack-nevares-72gr-2/p,16058,16059,3454,Almacen
7793123000394,211357494,Cubanitos Rellenos De Dulce De Leche Oblita 264g,Kiosco,Golosinas > Obleas Y Bocaditos,Oblita,,3639.0,3639.0,"Más Online | Almacén | Alfajores, Chocolates y Golosinas - M. Ofertazos | kiosko chocolates | Sin cucarda Financiacion | Mâs Ofertas - Almacén - Perfumería | 4 Eduardo Salgado | MasOfertas - Desayuno y Golosinas | Super - TODO 2da al 50% | Anses Filtro Excluidos | 3 Carina De Sa Dos Santos | Mas Club Lunes 15% | Apertura Campana Total | Especial Reyes|Food | Almacen | Sin financiación FOOD | Productos sin Financiacion",https://www.masonline.com.ar/cubanitos-rellenos-de-dulce-de-leche-oblita-264g-2/p,174113,174113,3454,Almacen
